id,name,description,assignable,category,creationDate,lastModificationDate,creationUser,lastModificationUser
148,ASESOR_SIN_TEL_SIN_CAMP,ASESOR_SIN_TEL_SIN_CAMP,true,PERFIL,2012-06-26T17:17:25.586+02:00,2012-06-26T17:17:25.586+02:00,MPAJE4F,MPAJE4F
144,ASESOR_SIN_TELEFONIA,ASESOR_SIN_TELEFONIA,true,PERFIL,2012-06-22T11:32:59.062+02:00,2012-06-22T11:32:59.062+02:00,MPAJE4F,MPAJE4F
146,ASESOR_SOLO_LECTURA,ASESOR_SOLO_LECTURA,true,PERFIL,2012-06-22T11:46:34.632+02:00,2012-06-22T11:46:34.632+02:00,MPAJE4F,MPAJE4F
142,ASESOR_TELEFONIA,ASESOR_TELEFONIA,true,PERFIL,2012-06-21T11:18:51.174+02:00,2012-06-21T11:18:51.174+02:00,MPAJE4F,MPAJE4F
2244,ASESOR_TELEFONIA_NOTIF,ASESOR_TELEFONIA_NOTIF,true,PERFIL,2015-11-26T13:30:50.550+01:00,2015-11-26T13:30:50.550+01:00,WEB-SERVICE,WEB-SERVICE
102,ASESOR_TELF_MUTUACTIVOS,ASESOR_TELF_MUTUACTIVOS,true,PERFIL,2013-01-11T13:39:44.388+00:00,2013-01-11T13:39:44.388+00:00,MPAJE4F,MPAJE4F
6210,ASESOR_TLF_NOTIF_SERGESI,ASESOR_TLF_NOTIF_SERGESI,true,PERFIL,2018-07-12T12:38:26.876+02:00,2018-07-12T12:38:26.876+02:00,WEB-SERVICE,WEB-SERVICE
6324,ASESOR_TLF_NOTIF_SRGESI,ASESOR_TLF_NOTIF_SRGESI,true,PERFIL,2018-09-27T09:40:49.882+02:00,2018-09-27T09:40:49.882+02:00,WEB-SERVICE,WEB-SERVICE
309,AUTOCLUB,AUTOCLUB,true,PERFIL,2013-06-21T12:40:14.440+02:00,2013-06-21T12:40:14.440+02:00,MPAJE4F,MPAJE4F
6325,BACK_PRESTACIONES_ST,BACK_PRESTACIONES_ST,true,PERFIL,2018-10-04T19:51:26.184+02:00,2018-10-04T19:51:26.184+02:00,WEB-SERVICE,WEB-SERVICE
1337,CALL_CENTER_EXTERNO_ADMIN,CALL_CENTER_EXTERNO_ADMIN,true,PERFIL,2014-07-16T10:08:59.562+00:00,2014-07-16T10:08:59.562+00:00,MPAJE4F,MPAJE4F
2385,CALL_CENTER_EXTERNO_NOTIF,CALL_CENTER_EXTERNO_NOTIF,true,PERFIL,2016-03-14T12:19:38.951+01:00,2016-03-14T12:19:38.951+01:00,WEB-SERVICE,WEB-SERVICE
9,CALL_CENTER_EXTERNO_1,CALL_CENTER_EXTERNO_1,true,PERFIL,2012-08-08T12:40:28.333+02:00,2025-06-25T22:00:10.315+02:00,MPAJE4F,MIGAUT2
13,CALL_CENTER_EXTERNO_2,CALL_CENTER_EXTERNO_2,true,PERFIL,2012-08-08T17:14:57.681+02:00,2025-06-25T22:00:10.310+02:00,ACAGA9M,MIGAUT2
3362,CALL_CENTER_KONECTA_C2C,CALL_CENTER_KONECTA_C2C,true,PERFIL,2017-03-07T09:15:31.293+01:00,2017-03-07T09:15:31.293+01:00,WEB-SERVICE,WEB-SERVICE
8562,CCA_KONECTA,CCA_KONECTA,true,PERFIL,2023-05-10T14:35:47.791+02:00,2023-05-10T14:35:47.791+02:00,WEB-SERVICE,WEB-SERVICE
41,COMERCIAL,COMERCIAL,true,PERFIL,2012-10-04T11:39:49.165+02:00,2012-10-04T11:39:49.165+02:00,MPAJE4F,MPAJE4F
89,COORDINADOR,COORDINADOR,true,PERFIL,2012-06-12T12:11:11.856+02:00,2012-06-12T12:11:11.856+02:00,RCASA9A,RCASA9A
2067,EXTERNO_SIN_TELEFONIA_WEB,EXTERNO_SIN_TELEFONIA_WEB,true,ACCION,2015-07-24T14:50:16.239+02:00,2015-07-24T14:50:16.239+02:00,MPAJE4F,MPAJE4F
8142,GESTOR_INCIDENCIAS_REGALO,GESTOR_INCIDENCIAS_REGALO,true,PERFIL,2022-07-07T08:17:15.800+02:00,2022-07-07T08:17:15.800+02:00,WEB-SERVICE,WEB-SERVICE
2092,GRUPO_ADMIN_CRECAM,GRUPO_ADMIN_CRECAM,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
9122,GRUPO_ADMIN_CRECAM_OK,,true,OTROS,2024-06-18T13:57:56.161+02:00,2024-06-18T13:57:56.161+02:00,WEB-SERVICE,WEB-SERVICE
2090,GRUPO_ADMIN_SISTEMAS,GRUPO_ADMIN_SISTEMAS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2128,GRUPO_ADMIN_THINCLIENT,GRUPO_ADMIN_THINCLIENT,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
3104,GRUPO_ADMIN_UNICA,,true,OTROS,2016-11-28T10:46:57.339+01:00,2016-11-28T10:46:57.339+01:00,WEB-SERVICE,WEB-SERVICE
8483,GRUPO_ALQUILER_DE_VEHICULO,,true,OTROS,2023-03-15T11:03:31.366+01:00,2023-03-15T11:03:31.366+01:00,WEB-SERVICE,WEB-SERVICE
6724,GRUPO_APOYOS_RETENCION,,true,OTROS,2019-05-27T13:22:17.218+02:00,2019-05-27T13:22:17.218+02:00,WEB-SERVICE,WEB-SERVICE
2119,GRUPO_ARPU,GRUPO_ARPU,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2262,GRUPO_ASESORES_TRAFICO,,true,OTROS,2016-01-07T13:45:24.943+02:00,2016-01-07T13:45:24.943+02:00,WEB-SERVICE,WEB-SERVICE
2124,GRUPO_ASESORIA_JURIDICA,GRUPO_ASESORIA_JURIDICA,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2094,GRUPO_AUTOCLUB__SOLO_LECTURA,GRUPO_AUTOCLUB__SOLO_LECTURA,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2114,GRUPO_BACK_PRETACIONES_AUTOS_CAMPAÑAS,GRUPO_BACK_PRETACIONES_AUTOS_CAMPAÑAS,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2076,GRUPO_BACKOFFICE_MUTUACTIVOS_G1,GRUPO_BACKOFFICE_MUTUACTIVOS_G1,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
3442,GRUPO_BACKOFFICE_MUTUACTIVOS_G10,,true,OTROS,2017-05-18T10:58:48.282+02:00,2017-05-18T10:58:48.282+02:00,WEB-SERVICE,WEB-SERVICE
2077,GRUPO_BACKOFFICE_MUTUACTIVOS_G2,GRUPO_BACKOFFICE_MUTUACTIVOS_G2,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
2078,GRUPO_BACKOFFICE_MUTUACTIVOS_G3,GRUPO_BACKOFFICE_MUTUACTIVOS_G3,true,OTROS,2015-07-27T22:00:06.624+02:00,,ACAGA9M,
